state,district,crop,modal_price,min_price,max_price,date,month,day_of_week,price_lag_1,price_lag_7,price_lag_30,rolling_mean_7,rolling_std_7,price_direction
Gujarat,Dahod,Wheat,2550.0,,,2017-03-16 00:09:21.221315,3,3,2700.0,2550.0,2550.0,2625.0,106.06601717798213,0
Gujarat,Gandhinagar,Bajra(Pearl Millet/Cumbu),2290.0,,,2017-03-17 00:09:21.221315,3,4,2290.0,2290.0,2290.0,2290.0,0.0,0
Gujarat,Gandhinagar,Paddy(Dhan)(Common),1950.0,,,2017-03-18 00:09:21.221315,3,5,1950.0,1950.0,1950.0,1950.0,0.0,0
Gujarat,Gandhinagar,Wheat,2312.0,,,2017-03-19 00:09:21.221315,3,6,2312.0,2312.0,2312.0,2312.0,0.0,0
Gujarat,Jamnagar,Bajra(Pearl Millet/Cumbu),1950.0,,,2017-03-20 00:09:21.221315,3,0,1950.0,1950.0,1950.0,1950.0,0.0,0
Gujarat,Jamnagar,Bengal Gram(Gram)(Whole),4525.0,,,2017-03-21 00:09:21.221315,3,1,4525.0,4525.0,4525.0,4525.0,0.0,0
Gujarat,Jamnagar,Cotton,6015.0,,,2017-03-22 00:09:21.221315,3,2,6015.0,6015.0,6015.0,6015.0,0.0,0
Gujarat,Jamnagar,Jowar(Sorghum),4225.0,,,2017-03-23 00:09:21.221315,3,3,4225.0,4225.0,4225.0,4225.0,0.0,0
Gujarat,Jamnagar,Wheat,2380.0,,,2017-03-24 00:09:21.221315,3,4,2380.0,2380.0,2380.0,2380.0,0.0,0
Gujarat,Junagarh,Bajra(Pearl Millet/Cumbu),2125.0,,,2017-03-25 00:09:21.221315,3,5,2125.0,2125.0,2125.0,2125.0,0.0,0
Gujarat,Junagarh,Black Gram (Urd Beans)(Whole),8600.0,,,2017-03-26 00:09:21.221315,3,6,8600.0,8600.0,8600.0,8600.0,0.0,0
Gujarat,Junagarh,Wheat,2475.0,,,2017-03-27 00:09:21.221315,3,0,2475.0,2475.0,2475.0,2475.0,0.0,0
Gujarat,Junagarh,Arhar (Tur/Red Gram)(Whole),8690.0,,,2017-03-28 00:09:21.221315,3,1,8690.0,8690.0,8690.0,8690.0,0.0,0
Gujarat,Junagarh,Green Gram (Moong)(Whole),7315.0,,,2017-03-29 00:09:21.221315,3,2,7315.0,7315.0,7315.0,7315.0,0.0,0
Gujarat,Junagarh,Kulthi(Horse Gram),4745.0,,,2017-03-30 00:09:21.221315,3,3,4745.0,4745.0,4745.0,4745.0,0.0,0
Gujarat,Junagarh,Wheat,2425.0,,,2017-03-31 00:09:21.221315,3,4,2475.0,2425.0,2425.0,2450.0,35.35533905932738,0
Gujarat,Mehsana,Bajra(Pearl Millet/Cumbu),2250.0,,,2017-04-01 00:09:21.221315,4,5,2250.0,2250.0,2250.0,2250.0,0.0,0
Gujarat,Mehsana,Mustard,5290.0,,,2017-04-02 00:09:21.221315,4,6,5290.0,5290.0,5290.0,5290.0,0.0,0
Gujarat,Mehsana,Paddy(Dhan)(Common),2200.0,,,2017-04-03 00:09:21.221315,4,0,2200.0,2200.0,2200.0,2200.0,0.0,0
Gujarat,Mehsana,Wheat,2450.0,,,2017-04-04 00:09:21.221315,4,1,2450.0,2450.0,2450.0,2450.0,0.0,0
Gujarat,Morbi,Wheat,2350.0,,,2017-04-05 00:09:21.221315,4,2,2350.0,2350.0,2350.0,2350.0,0.0,0
Gujarat,Patan,Wheat,2125.0,,,2017-04-06 00:09:21.221315,4,3,2125.0,2125.0,2125.0,2125.0,0.0,0
Gujarat,Patan,Bajra(Pearl Millet/Cumbu),1940.0,,,2017-04-07 00:09:21.221315,4,4,1940.0,1940.0,1940.0,1940.0,0.0,0
Gujarat,Patan,Jowar(Sorghum),5577.0,,,2017-04-08 00:09:21.221315,4,5,5577.0,5577.0,5577.0,5577.0,0.0,0
Gujarat,Patan,Mustard,5327.0,,,2017-04-09 00:09:21.221315,4,6,5327.0,5327.0,5327.0,5327.0,0.0,0
Gujarat,Patan,Wheat,2367.0,,,2017-04-10 00:09:21.221315,4,0,2125.0,2367.0,2367.0,2246.0,171.1198410471445,1
Gujarat,Porbandar,Bajra(Pearl Millet/Cumbu),2205.0,,,2017-04-11 00:09:21.221315,4,1,2205.0,2205.0,2205.0,2205.0,0.0,0
Gujarat,Porbandar,Green Gram (Moong)(Whole),8315.0,,,2017-04-12 00:09:21.221315,4,2,8315.0,8315.0,8315.0,8315.0,0.0,0
Gujarat,Porbandar,Kulthi(Horse Gram),4350.0,,,2017-04-13 00:09:21.221315,4,3,4350.0,4350.0,4350.0,4350.0,0.0,0
Gujarat,Porbandar,Wheat,1990.0,,,2017-04-14 00:09:21.221315,4,4,1990.0,1990.0,1990.0,1990.0,0.0,0
