state,district,crop,modal_price,min_price,max_price,date
Maharashtra,Mumbai,Lentil (Masur)(Whole),7400.0,,,
Maharashtra,Mumbai,Maize,3800.0,,,
Maharashtra,Mumbai,Wheat,4300.0,,,
Maharashtra,Nashik,Bajra(Pearl Millet/Cumbu),2535.0,,,
Maharashtra,Nashik,Bengal Gram(Gram)(Whole),4735.0,,,
Maharashtra,Nashik,Maize,2125.0,,,
Maharashtra,Parbhani,Arhar (Tur/Red Gram)(Whole),9850.0,,,
Maharashtra,Parbhani,Bengal Gram(Gram)(Whole),4450.0,,,
Maharashtra,Pune,Jowar(Sorghum),5250.0,,,
Maharashtra,Pune,Wheat,4500.0,,,
Maharashtra,Raigad,Paddy(Dhan)(Common),2216.0,,,
Maharashtra,Thane,Bajra(Pearl Millet/Cumbu),2650.0,,,
Maharashtra,Thane,Black Gram (Urd Beans)(Whole),9400.0,,,
Maharashtra,Thane,Jowar(Sorghum),4750.0,,,
Maharashtra,Thane,Wheat,2650.0,,,
Maharashtra,Thane,Wheat,3500.0,,,
Maharashtra,Thane,Wheat,3460.0,,,
Nagaland,Longleng,Maize,7700.0,,,
Odisha,Bargarh,Paddy(Dhan)(Common),2040.0,,,
Odisha,Bargarh,Paddy(Dhan)(Common),2040.0,,,
Odisha,Bhadrak,Paddy(Dhan)(Common),2040.0,,,
Odisha,Bhadrak,Paddy(Dhan)(Common),2040.0,,,
Odisha,Nowarangpur,Maize,1500.0,,,
Pondicherry,Karaikal,Paddy(Dhan)(Common),2560.0,,,
Punjab,Hoshiarpur,Maize,1100.0,,,
Punjab,Sangrur,Maize,1675.0,,,
Rajasthan,Ajmer,Barley (Jau),1615.0,,,
Rajasthan,Ajmer,Bengal Gram(Gram)(Whole),4682.0,,,
Rajasthan,Ajmer,Maize,2450.0,,,
Rajasthan,Ajmer,Mustard,4875.0,,,
Rajasthan,Ajmer,Barley (Jau),1635.0,,,
Rajasthan,Ajmer,Maize,2450.0,,,
Rajasthan,Ajmer,Wheat,2215.0,,,
Rajasthan,Chittorgarh,Maize,1970.0,,,
Rajasthan,Chittorgarh,Wheat,2200.0,,,
Rajasthan,Chittorgarh,Wheat,2250.0,,,
Rajasthan,Churu,Bajra(Pearl Millet/Cumbu),1750.0,,,
Rajasthan,Dausa,Bajra(Pearl Millet/Cumbu),2011.0,,,
Rajasthan,Dausa,Bengal Gram(Gram)(Whole),4800.0,,,
Rajasthan,Dausa,Mustard,5350.0,,,
Rajasthan,Dausa,Wheat,2224.0,,,
Rajasthan,Dausa,Barley (Jau),1515.0,,,
Rajasthan,Dausa,Bengal Gram(Gram)(Whole),4840.0,,,
Rajasthan,Dausa,Mustard,5400.0,,,
Rajasthan,Dausa,Wheat,2255.0,,,
Rajasthan,Ganganagar,Barley (Jau),1700.0,,,
Rajasthan,Hanumangarh,Mustard,5171.0,,,
Rajasthan,Hanumangarh,Barley (Jau),1650.0,,,
Rajasthan,Hanumangarh,Bengal Gram(Gram)(Whole),4651.0,,,
Rajasthan,Hanumangarh,Mustard,5060.0,,,
Rajasthan,Hanumangarh,Wheat,2151.0,,,
